"Path","Lines","HeadingCount","H1","TopHeadings"
"apps\worker\README.md","41","5","# Raawi Worker (Phase 1B)","# Raawi Worker (Phase 1B) || ## Env || ## Commands || ## Flow || ## Lexicon"
"benchmarks\complaint-pack\README.md","53","5","# Complaint Benchmark Pack","# Complaint Benchmark Pack || ## Contents || ## What This Measures || ## Suggested Workflow || ## Notes"
"benchmarks\human-vs-ai\README.md","88","8","# Human vs AI Scorecard Pack","# Human vs AI Scorecard Pack || ## Goal || ## Files || ## Dataset columns || ## Existing-report mode || ## Fresh-run mode"
"CODE_LEVEL_PIPELINE_AND_MECHANISMS.md","383","27","# Code-Level: Prompts, Pipeline, Schemas, Lexicon, and Job States","# Code-Level: Prompts, Pipeline, Schemas, Lexicon, and Job States || ## 1. Prompts and Pipeline Steps || ### 1.1 Overview || ### 1.2 Router Prompt (Article Selection) || ### 1.3 Judge Prompt (Atom Checking) || ### 1.4 Repair JSON Prompt"
"comments.md","23","1","#","## ملاحظة مقترحة تضاف في واجهة الاستيراد"
"docs\AGENT_01_ANALYSIS_PIPELINE.md","118","14","# Analysis Pipeline — Technical Reference for Agent Implementation","# Analysis Pipeline — Technical Reference for Agent Implementation || ## 1. Overview || ## 2. Task Creation (Edge / API) || ## 3. Per-Chunk Processing (Worker) || ### 3.1 Lexicon (no LLM) || ### 3.2 Router (optional, one LLM call)"
"docs\AGENT_02_PROMPTS_REFERENCE.md","314","14","# Prompts Reference — Full Text for Agent Implementation","# Prompts Reference — Full Text for Agent Implementation || ## 1. Router (اختيار المواد) || ### System: ROUTER_SYSTEM_MSG || ## 2. Judge — Single-Pass (JUDGE_SYSTEM_MSG) || ### System: JUDGE_SYSTEM_MSG (full) || ## 3. Multi-Pass Judge (المسارات المتخصصة)"
"docs\AGENT_03_ARTICLES_AND_ATOMS_DETAILED.md","341","29","# GCAM Articles and Atoms — Detailed Reference for Agent (Law + Film + Language)","# GCAM Articles and Atoms — Detailed Reference for Agent (Law + Film + Language) || ## Article 1 — التعريفات (Definitions) || ## Article 2 — نطاق التطبيق (Scope of application) || ## Article 3 — المسؤولية (Responsibility) || ## Article 4 — ضوابط المحتوى الإعلامي (Content rules — sub-rules) || ## Article 5 — التصنيف العمري (Age classification)"
"docs\AGENT_KNOWLEDGE_README.md","44","4","# Agent-Oriented Knowledge Base for Script Compliance Analysis","# Agent-Oriented Knowledge Base for Script Compliance Analysis || ## Document Index || ## Suggested Use for an Agent Implementation || ## Current vs. Agent Vision"
"docs\AI_ANALYSIS_VERIFICATION.md","174","16","# AI Analysis System - Final Verification","# AI Analysis System - Final Verification || ## ✅ Confirmed: Glossary Integration is ACTIVE || ### Flow Verification: || #### 1. **Glossary Terms Fetched** ✅ || #### 2. **Terms Injected into Prompts** ✅ || #### 3. **Injected Prompts Passed to OpenAI** ✅"
"docs\AI_QUALITY_AND_TRUST_ROADMAP_2026-03-27.md","548","52","# AI Quality and Trust Roadmap","# AI Quality and Trust Roadmap || ## Purpose || ## The Six Pain Points || ### 1. Same scan gives slightly different results || ### 2. Weak or unclear reason on finding cards || ### 3. Weak understanding of some atoms"
"docs\ANALYSIS_AUDITOR_CALIBRATION.md","68","6","# Auditor Calibration Gate (Saudi)","# Auditor Calibration Gate (Saudi) || ## Inputs || ## Mismatch Classes || ## Promotion Thresholds (2 consecutive runs) || ## SQL Pack (Supabase) || ## Execution Steps"
"docs\ANALYSIS_ENHANCEMENT_PLAN.md","136","16","# Analysis enhancement plan — speed, rationale quality, multi-pass strategy","# Analysis enhancement plan — speed, rationale quality, multi-pass strategy || ## Current architecture (baseline) || ## Goal 1 — Reduce analysis time || ### 1.1 Highest leverage (ops, no code) || ### 1.2 Code / config (lower risk) || ### 1.3 Code (medium effort)"
"docs\ANALYSIS_HYBRID_ROLLOUT.md","53","7","# Hybrid V3 Rollout Guide","# Hybrid V3 Rollout Guide || ## Runtime Flags || ## Modes || ## Shadow KPIs || ## Suggested Graduation Criteria || ## Activation Sequence"
"docs\ANALYSIS_MISSED_VIOLATIONS_DEBUG.md","95","9","# Why did analysis only report 1 violation for ""ظِلّ المدينة""?","# Why did analysis only report 1 violation for ""ظِلّ المدينة""? || ## Script content (expected violations) || ## How analysis works (reminder) || ## What to do || ### 1. Confirm chunk count and status || ### 2. Enable high recall (recommended)"
"docs\ANALYSIS_ROLLOUT_ROLLBACK_RUNBOOK.md","117","15","# Analysis Rollout and Rollback Runbook","# Analysis Rollout and Rollback Runbook || ## Purpose || ## Current Release Chain (latest first) || ## Deployment Order (strict) || ## Checkpoints (must pass before next step) || ### Checkpoint A: tasks function deployed"
"docs\ANALYSIS_V2_BASELINE_AUDIT.md","33","6","# Analysis V2 Baseline Audit","# Analysis V2 Baseline Audit || ## Scope || ## Current V2 Flow || ## Why false positives happen in V2 || ## Instrumentation Hooks Added || ## Compatibility Notes"
