case_id,scenario_theme,expected_ruling,actual_ruling,expected_primary_article,actual_primary_article,expected_related_articles,actual_related_articles,expected_pillar,actual_pillar,duplicate_canonical_cards,mismatch_class,auditor_notes,pass_fail
case01,religious_mockery_promoted,violation,,3,,,,"P1_FaithAndSocialValues",,0,,, 
case02,religious_insult_condemned,context_ok,,3,,,,"P1_FaithAndSocialValues",,0,,,
case03,indecency_with_repentance,needs_review,,24,,,,"P1_FaithAndSocialValues",,0,,,
case04,anti_family_values_normalized,violation,,17,,,,"P1_FaithAndSocialValues",,0,,,
case05,drug_use_glamorized,violation,,11,,,,"P2_CriminalAndProhibitedActs",,0,,,
case06,drug_mention_police_context,context_ok,,11,,,,"P2_CriminalAndProhibitedActs",,0,,,
case07,fraud_howto_dialogue,violation,,8,,,,"P2_CriminalAndProhibitedActs",,0,,,
case08,threat_then_deescalation,needs_review,,4,,,,"P2_CriminalAndProhibitedActs",,0,,,
case09,reckless_driving_celebrated,violation,,20,,,,"P3_PublicOrderAndSafety",,0,,,
case10,reckless_act_with_penalty,context_ok,,20,,,,"P3_PublicOrderAndSafety",,0,,,
case11,vandalism_heroized,violation,,19,,,,"P3_PublicOrderAndSafety",,0,,,
case12,assembly_historical_neutral,needs_review,,13,,,,"P3_PublicOrderAndSafety",,0,,,
case13,incitement_against_institutions,violation,,14,,,,"P4_AuthorityAndGovernanceIntegrity",,0,,,
case14,satire_with_legal_balance,needs_review,,16,,,,"P4_AuthorityAndGovernanceIntegrity",,0,,,
case15,corruption_plot_offenders_punished,context_ok,,16,,,,"P4_AuthorityAndGovernanceIntegrity",,0,,,
case16,evasion_success_without_consequence,violation,,16,,,,"P4_AuthorityAndGovernanceIntegrity",,0,,,
case17,criminal_protagonist_idealized,violation,,19,,,,"P5_MoralOutcomeAndNarrativeResponsibility",,0,,,
case18,harm_depicted_but_reform_message,context_ok,,21,,,,"P5_MoralOutcomeAndNarrativeResponsibility",,0,,,
case19,ambiguous_ending_no_accountability,needs_review,,20,,,,"P5_MoralOutcomeAndNarrativeResponsibility",,0,,,
case20,positive_reform_arc,context_ok,,21,,,,"P5_MoralOutcomeAndNarrativeResponsibility",,0,,,
